Thuoc_Tinh,Do_Quan_Trong
MonthlyIncome,0.2270179222246684
OverTime,0.21686483742729945
TotalWorkingYears,0.08768361707793348
MaritalStatus_Single,0.08154632711012362
DailyRate,0.06053642129121611
YearsInCurrentRole,0.051456503765654193
JobRole_Research Scientist,0.0492754496855873
Department_Sales,0.04491891361996301
HourlyRate,0.0408307357380466
YearsWithCurrManager,0.03195030984431805
EnvironmentSatisfaction,0.031017336822612165
WorkLifeBalance,0.026319053153063633
EducationField_Medical,0.01903472293770136
EducationField_Other,0.016103979882214018
YearsAtCompany,0.015443869419598546
RelationshipSatisfaction,0.0
PerformanceRating,0.0
PercentSalaryHike,0.0
NumCompaniesWorked,0.0
JobSatisfaction,0.0
MonthlyRate,0.0
JobInvolvement,0.0
JobLevel,0.0
Gender,0.0
Education,0.0
YearsSinceLastPromotion,0.0
TrainingTimesLastYear,0.0
Department_Research & Development,0.0
BusinessTravel_Travel_Rarely,0.0
StockOptionLevel,0.0
BusinessTravel_Travel_Frequently,0.0
EducationField_Life Sciences,0.0
EducationField_Marketing,0.0
JobRole_Laboratory Technician,0.0
EducationField_Technical Degree,0.0
JobRole_Manager,0.0
JobRole_Manufacturing Director,0.0
JobRole_Research Director,0.0
JobRole_Human Resources,0.0
JobRole_Sales Executive,0.0
JobRole_Sales Representative,0.0
MaritalStatus_Married,0.0
AgeGroup_31-40,0.0
AgeGroup_41-50,0.0
AgeGroup_51+,0.0
DistanceGroup_Trung binh (5-15km),0.0
DistanceGroup_Xa (>15km),0.0
