TenNhanVien,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
NV-0001,41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
NV-0002,49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
NV-0004,37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
NV-0005,33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
NV-0007,27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
NV-0008,32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
NV-0010,59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
NV-0011,30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
NV-0012,38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
NV-0013,36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
NV-0014,35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
NV-0015,29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
NV-0016,31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
NV-0018,34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
NV-0019,28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
NV-0020,29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
NV-0021,32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
NV-0022,22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
NV-0023,53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
NV-0024,38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
NV-0026,24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
NV-0027,36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
NV-0028,34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
NV-0030,21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
Minh,30,Yes,Travel_Rarely,800,Human Resources,7,3,Marketing,1,31,3,Male,65,2,2,Human Resources,3,Single,5000,14000,2,Y,No,14,3,2,80,1,8,3,3,5,2,1,3
Nhật Minh,30,Yes,Travel_Rarely,800,Human Resources,5,3,Human Resources,1,32,3,Female,65,3,2,Healthcare Representative,3,Single,5000,14000,2,Y,No,14,3,3,80,1,8,3,3,4,2,1,3
NV-0031,Travel_Rarely,,Medical,2,34,No,6,1,1,33,2960,699,Male,1,Research Scientist,Yes,Single,Research & Development,31,83,8,Y,1,3,Y,17102,80,1,11,2,2,3,3,80,0
NV-0032,Travel_Rarely,,Other,3,53,No,5,3,1,34,19094,1282,Female,3,Manager,No,Divorced,Research & Development,32,58,26,Y,1,3,Y,10735,80,5,11,3,4,3,4,80,1
NV-0033,Travel_Frequently,,Life Sciences,2,32,Yes,16,1,1,35,3919,1125,Female,1,Research Scientist,Yes,Single,Research & Development,33,72,10,Y,1,1,Y,4681,80,1,22,5,1,4,2,80,0
NV-0035,Travel_Rarely,,Marketing,3,42,No,8,4,1,36,6825,691,Male,2,Sales Executive,No,Married,Sales,35,48,10,Y,1,3,Y,21173,80,2,11,2,0,3,4,80,1
NV-0036,Travel_Rarely,,Medical,1,44,No,7,4,1,37,10248,477,Female,4,Healthcare Representative,No,Married,Research & Development,36,42,24,Y,1,2,Y,2094,80,3,14,4,3,3,4,80,1
NV-0038,Travel_Rarely,,Marketing,2,46,No,2,4,1,38,18947,705,Female,1,Manager,No,Single,Sales,38,83,22,Y,1,3,Y,22822,80,5,12,2,3,3,4,80,0
NV-0039,Travel_Rarely,,Medical,3,33,No,2,3,1,39,2496,924,Male,4,Laboratory Technician,No,Single,Research & Development,39,78,7,Y,1,3,Y,6670,80,1,11,3,4,3,4,80,0
NV-0040,Travel_Rarely,,Other,4,44,Yes,10,4,1,40,6465,1459,Male,4,Healthcare Representative,No,Married,Research & Development,40,41,9,Y,1,3,Y,19121,80,2,13,5,2,3,4,80,0
NV-0041,Travel_Rarely,,Medical,4,30,No,9,2,1,41,2206,125,Male,3,Laboratory Technician,No,Single,Research & Development,41,83,10,Y,1,2,Y,16117,80,1,13,5,1,3,1,80,0
NV-0042,Travel_Rarely,,Technical Degree,4,39,No,5,3,1,42,2086,895,Male,4,Sales Representative,Yes,Married,Sales,42,56,19,Y,1,3,Y,3335,80,2,14,6,3,3,3,80,1
NV-0045,Travel_Rarely,,Medical,2,24,Yes,1,3,1,43,2293,813,Male,4,Research Scientist,Yes,Married,Research & Development,45,61,6,Y,1,3,Y,3020,80,1,16,2,2,3,1,80,1
NV-0046,Travel_Rarely,,Medical,4,43,No,2,2,1,44,2645,1273,Female,3,Research Scientist,No,Divorced,Research & Development,46,72,6,Y,1,4,Y,21923,80,1,12,3,1,3,4,80,2
